id,name,min_far,max_height,min_front_setback,side_setback,rear_setback,city,max_far,max_front_setback,min_dua,max_dua,coverage,max_du_per_parcel,min_lot_size,id_class,city_name
25,HZ-9,0.0,85.0,0.0,0.0,0.0,101,,0.0,0.0,0.0,1.0,0.0,0.0,25,
26,HZ-9-FS20,0.0,85.0,20.0,0.0,0.0,101,,20.0,0.0,0.0,1.0,0.0,0.0,26,
27,HZ-9-FS20-SS5,0.0,85.0,20.0,5.0,0.0,101,,20.0,0.0,0.0,1.0,0.0,,27,
28,HZ-9-FS5,0.0,85.0,5.0,0.0,0.0,101,,5.0,0.0,0.0,1.0,0.0,0.0,28,
49,New Town Center District,0.10000000099999999,85.0,0.0,10.0,,90,2.0,,30.0,75.0,,,,4309924,
2101,RHD,,35.0,15.0,5.0,20.0,1,0.5,,,9.0,40.0,,5000.0,2101,
2102,R-1,,28.0,15.0,7.5,20.0,1,0.55,,,12.0,50.0,,3750.0,2102,
2103,R-2,,35.0,15.0,7.5,15.0,1,0.55,,,35.0,50.0,,3750.0,2103,
2104,R-3,,35.0,15.0,7.5,15.0,1,1.5,,,63.0,50.0,,3750.0,2104,
2106,SPC,,38.0,,,,1,2.25,,,63.0,100.0,,,2106,
2107,SC,,35.0,,,,1,1.25,,,63.0,100.0,,,2107,
2108,CMX,,45.0,,,,1,0.5,,,,80.0,,5000.0,2108,
2109,PF,,40.0,,,,1,1.5,,,,,,,2109,
2110,WF,,,,,,1,0.5,,,,,,,2110,
2111,U,,,,,,1,,,,,,,,2111,
2201,R-1,,35.0,20.0,4.0,20.0,2,1.2,,,8.712,,,5000.0,2201,
2202,R-1H,,35.0,20.0,4.0,20.0,2,1.20000005,,,8.71199989,,,5000.0,2202,
2203,R-1A,,35.0,20.0,4.0,20.0,2,1.2,,,17.424,,,5000.0,2203,
2204,ES-R,,35.0,20.0,15.0,20.0,2,0.3,,,1.7424,,,25000.0,2204,
2205,R-2,,35.0,20.0,4.0,20.0,2,1.5,,,18.668571428,,,5000.0,2205,
2206,R-2H,,35.0,20.0,4.0,20.0,2,1.5,,,8.712,,,5000.0,2206,
2207,R-2A,,35.0,20.0,4.0,20.0,2,1.5,,,26.4,,,,2207,
2208,R-2AH,,35.0,20.0,4.0,20.0,2,1.5,,,8.712,,,,2208,
2209,R-3,,35.0,15.0,4.0,15.0,2,1.20000005,,,26.399999600000005,,,,2209,
2210,R-3H,,35.0,15.0,4.0,15.0,2,1.20000005,,,26.399999600000005,,,,2210,
2211,R-4,,65.0,15.0,4.0,15.0,2,2.1,,,40.0,,,,2211,
2212,R-4H,,35.0,15.0,4.0,15.0,2,1.05,,,20.0,,,,2212,
2214,R-5H,,35.0,10.0,4.0,15.0,2,1.2,,,100.0,,,,2214,
2215,C-1,,50.0,0.0,0.0,0.0,2,3.0,,,26.4,,,,2215,
2216,C-N,,35.0,0.0,0.0,0.0,2,3.0,,,26.4,,,,2216,
2217,C-N(H),,35.0,0.0,0.0,0.0,2,3.0,,,26.4,,,,2217,
2218,C-E,,28.0,0.0,0.0,0.0,2,1.0,,,26.4,,,,2218,
2219,C-NS,,35.0,0.0,0.0,0.0,2,1.0,,,26.4,,,,2219,
2220,C-NS(H),,35.0,0.0,0.0,0.0,2,1.0,,,26.4,,,,2220,
2221,C-SA,,60.0,0.0,0.0,0.0,2,4.0,,,40.0,,,,2221,
2222,C-T,,50.0,0.0,0.0,0.0,2,3.5,,,26.4,,,,2222,
2223,C-SO,,28.0,0.0,0.0,0.0,2,2.0,,,26.4,,,,2223,
2224,C-W,,50.0,0.0,0.0,0.0,2,3.0,,,150.0,,,,2224,
2225,BC,,35.0,0.0,0.0,0.0,2,3.0,,,100.0,,,,2225,
2226,M,,45.0,0.0,0.0,0.0,2,2.0,,,,,,,2226,
2227,MM,,45.0,0.0,0.0,0.0,2,2.0,,,,,,,2227,
2228,MULI,,45.0,0.0,0.0,0.0,2,2.0,,,,,,,2228,
2229,MUR,,35.0,5.0,0.0,0.0,2,5.0,,,34.848,,,,2229,
2230,SP,,,,,,2,,,,,,,,2230,
2231,U,,,,,,2,,,,,,,,2231,
2301,RRA,,35.0,50.0,50.0,30.0,3,,,,0.01,,,4356000.0,2301,
2302,ER,,35.0,20.0,10.0,20.0,3,0.7,,,0.8,40.0,,4000.0,2302,
2303,LDSF,,35.0,20.0,10.0,20.0,3,0.7,,,3.8,40.0,,4000.0,2303,
2304,LDR,,35.0,20.0,10.0,20.0,3,0.7,,,6.0,40.0,,4000.0,2304,
2305,SFR,,35.0,20.0,10.0,20.0,3,0.7,,,6.0,40.0,,4000.0,2305,
2306,MDR,,35.0,20.0,10.0,30.0,3,0.7,,,14.0,40.0,,8000.0,2306,
2307,EMHDR,,35.0,20.0,10.0,30.0,3,0.7,,,14.0,40.0,,5000.0,2307,
2308,MHDR,,35.0,20.0,10.0,30.0,3,0.7,,,25.0,40.0,,5000.0,2308,
2309,HDR,,35.0,20.0,10.0,30.0,3,0.7,,,35.0,40.0,,5000.0,2309,
2310,GC,,45.0,0.0,0.0,0.0,3,0.35,,,,,,6000.0,2310,
2311,RO,,45.0,0.0,0.0,0.0,3,0.35,,,,,,5000.0,2311,
2312,ROA,,45.0,0.0,0.0,0.0,3,0.35,,,,,,5000.0,2312,
2313,NC,,35.0,20.0,0.0,0.0,3,0.35,,,,,,5000.0,2313,
2314,GCCO,,45.0,0.0,0.0,0.0,3,0.28,,,,,,6000.0,2314,
2315,CO,,35.0,50.0,40.0,20.0,3,0.75,,,,,,40000.0,2315,
2316,IP,,45.0,10.0,10.0,10.0,3,0.28,,,,,,40000.0,2316,
2317,BPI,,35.0,20.0,10.0,10.0,3,0.28,,,,,,10000.0,2317,
2318,BPIOS,,45.0,10.0,20.0,10.0,3,0.28,,,,,,20000.0,2318,
2319,MU,,35.0,20.0,0.0,0.0,3,1.0,,,25.0,,,5000.0,2319,
2320,MHRRO,,45.0,0.0,0.0,0.0,3,0.45,,,35.0,,,5000.0,2320,
2323,PPR,,,,,,3,,,,,,,,2323,
2324,CP,,,,,,3,,,,,,,,2324,
2325,NP,,,,,,3,,,,,,,,2325,
2326,NS,,,,,,3,,,,,,,,2326,
2327,OS,,,,,,3,,,,,,,,2327,
2328,SC,,,,,,3,,,,,,,,2328,
2329,PL,,,,,,3,0.25,,,,,,,2329,
2330,PSP,,,,,,3,0.25,,,,,,,2330,
2331,ES,,,,,,3,,,,,,,,2331,
2334,MS,,,,,,3,,,,,,,,2334,
2401,RHD-3-100-55,,100.0,,,,4,3.0,,,100.0,,,,2401,
2402,RHD-4-135-55,,135.0,,,,4,4.0,,,135.0,,,,2402,
2403,MHR-1.6-60-55,,55.0,,,,4,1.6,,,60.0,,,,2403,
2404,MDR-0.5-35-30,,30.0,,,,4,0.5,,,35.0,,,,2404,
2405,MDR-0.5-35-55,,55.0,,,,4,0.5,,,35.0,,,,2405,
2406,MDR-1.6-60-30,,30.0,,,,4,1.6,,,60.0,,,,2406,
2407,MDR-1.6-60-55,,55.0,,,,4,1.6,,,60.0,,,,2407,
2408,MUR-0.5-35-30,,30.0,,,,4,0.5,,,35.0,,,,2408,
2409,MUR-0.5-35-55,,55.0,,,,4,0.5,,,35.0,,,,2409,
2410,MUR-1.6-60-30,,30.0,,,,4,1.6,,,60.0,,,,2410,
2411,MUR-1.6-60-55,,55.0,,,,4,1.6,,,60.0,,,,2411,
2412,MUR-3-100-100,,100.0,,,,4,3.0,,,100.0,,,,2412,
2413,MUR-3-100-55,,55.0,,,,4,3.0,,,100.0,,,,2413,
2414,MUR-3-100-75,,75.0,,,,4,3.0,,,100.0,,,,2414,
2415,MUR-4-135-100,,100.0,,,,4,4.0,,,135.0,,,,2415,
2416,MUR-4-135-55,,55.0,,,,4,4.0,,,135.0,,,,2416,
2418,MUR-6-135-x,,,,,,4,6.0,,,135.0,,,,2418,
2419,MUR-6-170-55,,55.0,,,,4,6.0,,,170.0,,,,2419,
2420,MUR-6-170-x,,,,,,4,6.0,,,170.0,,,,2420,
2421,MU-0.5-x-30,,30.0,,,,4,0.5,,,,,,,2421,
2422,MU-1.6-x-55,,55.0,,,,4,1.6,,,,,,,2422,
2423,MU-3-x-55,,55.0,,,,4,3.0,,,,,,,2423,
2424,MU-4-x-100,,100.0,,,,4,4.0,,,,,,,2424,
2425,MU-4-x-55,,55.0,,,,4,4.0,,,,,,,2425,
2426,MU-4-x-x,,,,,,4,4.0,,,,,,,2426,
2427,CO-0.5-x-55,,55.0,,,,4,0.5,,,,,,,2427,
2428,CO-1.6-x-55,,55.0,,,,4,1.6,,,,,,,2428,
2429,CO-3-x-100,,100.0,,,,4,3.0,,,,,,,2429,
2430,CO-3-x-55,,55.0,,,,4,3.0,,,,,,,2430,
2431,CO-4-x-100,,100.0,,,,4,4.0,,,,,,,2431,
2432,CO-4-x-55,,55.0,,,,4,4.0,,,,,,,2432,
2433,ODH-1-x-55,,55.0,,,,4,1.0,,,,,,,2433,
2434,Ind-0.5-x-55,,55.0,,,,4,0.5,,,,,,,2434,
2435,Ind-1.6-x-55,,55.0,,,,4,1.6,,,,,,,2435,
2436,Ind-3-x-55,,55.0,,,,4,3.0,,,,,,,2436,
2438,Pub-0.5-x-55,,55.0,,,,4,0.5,,,,,,,2438,
2439,Pub-1.6-x-55,,55.0,,,,4,1.6,,,,,,,2439,
2441,OS,,,,,,4,,,,,,,,2441,
2442,Park,,,,,,4,,,,,,,,2442,
2443,ROW,,,,,,4,,,,,,,,2443,
2501,RESVL1,,30.0,40.0,45.0,50.0,5,,,,1.0,,,43560.0,2501,
2502,RESVL2,,30.0,35.0,25.0,40.0,5,,,,1.5,,,29040.0,2502,
2503,RESVL3,,30.0,35.0,25.0,40.0,5,,,,2.3,,,18939.130434782,2503,
2504,RESL1,,30.0,25.0,25.0,30.0,5,,,,3.5,,,12445.714285713999,2504,
2505,RESL2,,30.0,25.0,20.0,30.0,5,,,,5.0,,,8712.0,2505,
2506,RESL3,,30.0,25.0,16.0,25.0,5,,,,6.0,,,7260.0,2506,
2507,RESL4,,30.0,20.0,12.0,25.0,5,,,,7.0,,,6222.857142856999,2507,
2508,RESM1,,30.0,20.0,12.0,25.0,5,,,,10.0,,,4356.0,2508,
2509,RESM2,,52.0,,20.0,10.0,5,,,,15.0,,,6000.0,2509,
2510,RESM3,,52.0,,20.0,10.0,5,,,,18.0,,,6000.0,2510,
2511,RESM4,,52.0,,20.0,10.0,5,,,,23.0,,,6000.0,2511,
2512,RESH1,,52.0,,20.0,10.0,5,,,,27.0,,,6000.0,2512,
2513,RESH2,,52.0,,20.0,10.0,5,,,,35.0,,,6000.0,2513,
2514,RESVH,,52.0,,20.0,10.0,5,,,,70.0,,,6000.0,2514,
2515,COMCOM,,40.0,0.0,0.0,0.0,5,0.5,,,,,,0.0,2515,
2516,COMHVR,,40.0,15.0,0.0,0.0,5,0.25,,,,,,20000.0,2516,
2517,COMN,,35.0,20.0,0.0,0.0,5,0.3,,,,,,0.0,2517,
2518,COMOFF,,35.0,15.0,10.0,10.0,5,0.3,,,,,,10000.0,2518,
2519,COMTH,,35.0,15.0,0.0,0.0,5,0.3,,,75.0,,,10000.0,2519,
2520,COMCBD,,,0.0,0.0,0.0,5,0.8,,,,,,0.0,2520,
2521,ComComResH1,,52.0,0.0,0.0,0.0,5,0.5,,,27.0,,,0.0,2521,
2522,ComComResH2,,52.0,0.0,0.0,0.0,5,0.5,,,35.0,,,0.0,2522,
2523,ComComResM4,,52.0,0.0,0.0,0.0,5,0.5,,,23.0,,,0.0,2523,
2524,ComNResH1,,52.0,20.0,0.0,0.0,5,0.3,,,27.0,,,0.0,2524,
2525,ComNResMed1,,52.0,20.0,0.0,0.0,5,0.3,,,10.0,,,0.0,2525,
2526,ComNResMed2,,52.0,20.0,0.0,0.0,5,0.3,,,15.0,,,0.0,2526,
2527,ComThResM3,,52.0,15.0,0.0,0.0,5,0.3,,,18.0,,,10000.0,2527,
